"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"MIA DST","DST","MIA","BAL","3.5","3.5","4.2","3.5","3.5","3.5","9.5","9.5","Thursday"
"Tommy Tremble","TE","CAR","@GB","3.4","2.6","4.2","1.8","2.6","3.4","8.1","6.6","Main"
"CAR DST","DST","CAR","@GB","3.4","3.4","4.1","3.4","3.4","3.4","9.6","9.6","Main"
"Keaton Mitchell","RB","BAL","@MIA","3.3","3.2","3.2","3.1","3.1","3.2","9.0","8.8","Thursday"
"Ameer Abdullah","RB","IND","@PIT","3.3","2.9","3.3","2.5","2.9","3.3","9.0","8.3","Main"
"Jaret Patterson","RB","LAC","@TEN","3.3","3.2","3.2","3.1","3.1","3.2","8.7","8.5","Main"
"Elijah Higgins","TE","ARI","@DAL","3.1","2.4","3.7","1.8","2.4","3.1","8.1","6.7","Monday"
"Ty Johnson","RB","BUF","KC","3.1","2.6","3.1","2.1","2.6","3.1","8.5","7.5","Main"
"Curtis Samuel","WR","BUF","KC","3.1","2.5","3.1","1.8","2.5","3.1","8.1","6.8","Main"
"Dawson Knox","TE","BUF","KC","3.1","2.5","3.7","1.9","2.5","3.1","8.3","7.0","Main"
"Beaux Collins","WR","NYG","SF","3.1","2.6","3.1","2.0","2.6","3.1","8.6","7.5","Main"
"MIN DST","DST","MIN","@DET","3.1","3.1","3.9","3.1","3.1","3.1","9.3","9.3","Main"
"Johnny Mundt","TE","JAX","@LV","3.0","2.4","3.7","1.7","2.4","3.0","7.9","6.6","Main"
"Austin Hooper","TE","NE","ATL","3.0","2.5","3.6","1.9","2.5","3.0","8.2","7.0","Main"
"David Sills V","WR","ATL","@NE","2.9","2.4","2.9","1.8","2.4","2.9","7.9","6.6","Main"
"Devin Duvernay","WR","CHI","@CIN","2.9","2.4","2.9","1.8","2.4","2.9","8.3","7.1","Main"
"Lil'Jordan Humphrey","WR","NYG","SF","2.9","2.3","2.8","1.7","2.3","2.8","7.9","6.7","Main"
"Jack Bech","WR","LV","JAX","2.7","2.1","2.6","1.6","2.1","2.6","7.6","6.4","Main"
"Adam Trautman","TE","DEN","@HOU","2.6","2.0","3.1","1.5","2.0","2.6","5.3","4.3","Main"
"Cedrick Wilson","WR","MIA","BAL","2.6","2.1","2.6","1.6","2.1","2.6","7.3","6.2","Thursday"
"Kyle Juszczyk","RB","SF","@NYG","2.5","2.0","2.5","1.4","1.9","2.5","7.2","5.9","Main"
"Emari Demercado","RB","ARI","@DAL","2.4","2.0","2.4","1.6","2.0","2.4","7.3","6.4","Monday"
"Jimmy Horn","WR","CAR","@GB","2.4","2.0","2.4","1.7","2.0","2.4","6.4","5.6","Main"
"Malik Heath","WR","GB","CAR","2.3","1.9","2.3","1.5","1.9","2.3","7.0","6.1","Main"
"Savion Williams","WR","GB","CAR","2.2","1.9","2.2","1.6","1.9","2.2","6.9","6.3","Main"
"Alec Ingold","RB","MIA","BAL","2.2","1.7","2.2","1.1","1.7","2.2","6.3","5.1","Thursday"
"Greg Dulcich","TE","MIA","BAL","2.2","1.7","2.6","1.3","1.7","2.2","6.3","5.2","Thursday"
"Greg Dortch","WR","ARI","@DAL","2.1","1.7","2.1","1.2","1.6","2.1","6.1","5.1","Monday"
"Isaac TeSlaa","WR","DET","MIN","2.1","1.8","2.1","1.4","1.8","2.1","7.0","6.1","Main"
"Ray Davis","RB","BUF","KC","2.0","1.8","2.0","1.5","1.8","2.0","6.3","5.7","Main"
"Luke Schoonmaker","TE","DAL","ARI","2.0","1.6","2.5","1.2","1.6","2.0","6.2","5.2","Monday"
"Brock Wright","TE","DET","MIN","2.0","1.6","2.4","1.2","1.6","2.0","6.2","5.2","Main"
