Draft,Team,Pick,Player,Position,NFL_Team,User,Fantasy QB,QB Team,Stacked,DBL Stack,QB Stack,Opponent,Double Run,Runback
1,2,23,George Kittle,TE,San Francisco 49ers,CGEEEEEE,Brock Purdy,San Francisco 49ers,1,,,New York Giants,0,0
1,1,24,Chase Brown,RB,Cincinnati Bengals,NF42,Matthew Stafford,Los Angeles Rams,0,,,Chicago Bears,0,0
1,1,25,DK Metcalf,WR,Pittsburgh Steelers,NF42,Matthew Stafford,Los Angeles Rams,0,,,Indianapolis Colts,1,1
1,2,26,Drake London,WR,Atlanta Falcons,CGEEEEEE,Brock Purdy,San Francisco 49ers,0,,,New England Patriots,0,0
1,3,27,Drake Maye,QB,New England Patriots,INGELX,Drake Maye,New England Patriots,1,0,0,Atlanta Falcons,0,0
1,4,28,Tucker Kraft,TE,Green Bay Packers,DAVIDDU316,Justin Herbert,Los Angeles Chargers,0,,,Carolina Panthers,0,0
1,5,29,Tyrone Tracy,RB,New York Giants,DABK,Joe Flacco,Cincinnati Bengals,0,,,San Francisco 49ers,0,0
1,6,30,Tee Higgins,WR,Cincinnati Bengals,ECOXER10,Caleb Williams,Chicago Bears,0,,,Chicago Bears,3,1
1,7,31,Travis Etienne Jr.,RB,Jacksonville Jaguars,BUSTERSBOYS,Jordan Love,Green Bay Packers,0,,,Las Vegas Raiders,0,0
1,8,32,Michael Pittman Jr.,WR,Indianapolis Colts,KURUC711,Daniel Jones,Indianapolis Colts,1,,,Pittsburgh Steelers,0,0
1,9,33,Nico Collins,WR,Houston Texans,D4VE,Josh Allen,Buffalo Bills,0,,,Denver Broncos,1,1
1,10,34,Oronde Gadsden,TE,Los Angeles Chargers,LINEOFSCRIM,Patrick Mahomes,Kansas City Chiefs,0,,,Tennessee Titans,0,0
1,11,35,Chris Olave,WR,New Orleans Saints,YUZENN,Jaxson Dart,New York Giants,0,,,Los Angeles Rams,0,0
1,12,36,Jordan Addison,WR,Minnesota Vikings,MATHOLOGY,J.J. McCarthy,Minnesota Vikings,1,,,Detroit Lions,1,1
1,12,37,Sam LaPorta,TE,Detroit Lions,MATHOLOGY,J.J. McCarthy,Minnesota Vikings,0,,,Minnesota Vikings,3,1
1,11,38,David Montgomery,RB,Detroit Lions,YUZENN,Jaxson Dart,New York Giants,0,,,Minnesota Vikings,0,0
1,10,39,Rico Dowdle,RB,Carolina Panthers,LINEOFSCRIM,Patrick Mahomes,Kansas City Chiefs,0,,,Green Bay Packers,0,0
1,9,40,Brock Bowers,TE,Las Vegas Raiders,D4VE,Josh Allen,Buffalo Bills,0,,,Jacksonville Jaguars,1,1
1,8,41,Daniel Jones,QB,Indianapolis Colts,KURUC711,Daniel Jones,Indianapolis Colts,1,1,1,Pittsburgh Steelers,0,0
1,7,42,Xavier Worthy,WR,Kansas City Chiefs,BUSTERSBOYS,Jordan Love,Green Bay Packers,0,,,Buffalo Bills,1,1
1,6,43,Caleb Williams,QB,Chicago Bears,ECOXER10,Caleb Williams,Chicago Bears,1,2,1,Cincinnati Bengals,1,1
1,5,44,Rhamondre Stevenson,RB,New England Patriots,DABK,Joe Flacco,Cincinnati Bengals,0,,,Atlanta Falcons,0,0
1,4,45,Keenan Allen,WR,Los Angeles Chargers,DAVIDDU316,Justin Herbert,Los Angeles Chargers,1,,,Tennessee Titans,0,0
1,3,46,Jaylen Warren,RB,Pittsburgh Steelers,INGELX,Drake Maye,New England Patriots,0,,,Indianapolis Colts,0,0
1,2,47,Brian Thomas,WR,Jacksonville Jaguars,CGEEEEEE,Brock Purdy,San Francisco 49ers,0,,,Las Vegas Raiders,0,0
1,1,48,Tetairoa McMillan,WR,Carolina Panthers,NF42,Matthew Stafford,Los Angeles Rams,0,,,Green Bay Packers,0,0
1,1,49,Kyle Pitts,TE,Atlanta Falcons,NF42,Matthew Stafford,Los Angeles Rams,0,,,New England Patriots,0,0
1,2,50,Brock Purdy,QB,San Francisco 49ers,CGEEEEEE,Brock Purdy,San Francisco 49ers,1,2,1,New York Giants,0,0
1,3,51,Travis Kelce,TE,Kansas City Chiefs,INGELX,Drake Maye,New England Patriots,0,,,Buffalo Bills,0,0
1,4,52,Kareem Hunt,RB,Kansas City Chiefs,DAVIDDU316,Justin Herbert,Los Angeles Chargers,0,,,Buffalo Bills,0,0
1,5,53,Stefon Diggs,WR,New England Patriots,DABK,Joe Flacco,Cincinnati Bengals,0,,,Atlanta Falcons,0,0
1,6,54,D.J. Moore,WR,Chicago Bears,ECOXER10,Caleb Williams,Chicago Bears,1,,,Cincinnati Bengals,1,1
1,7,55,Dalton Kincaid,TE,Buffalo Bills,BUSTERSBOYS,Jordan Love,Green Bay Packers,0,,,Kansas City Chiefs,1,1
1,8,56,Juwan Johnson,TE,New Orleans Saints,KURUC711,Daniel Jones,Indianapolis Colts,0,,,Los Angeles Rams,0,0
1,9,57,Travis Hunter,WR,Jacksonville Jaguars,D4VE,Josh Allen,Buffalo Bills,0,,,Las Vegas Raiders,1,1
1,10,58,Hollywood Brown,WR,Kansas City Chiefs,LINEOFSCRIM,Patrick Mahomes,Kansas City Chiefs,1,,,Buffalo Bills,0,0
1,11,59,Jaxson Dart,QB,New York Giants,YUZENN,Jaxson Dart,New York Giants,1,1,1,San Francisco 49ers,0,0
1,12,60,J.K. Dobbins,RB,Denver Broncos,MATHOLOGY,J.J. McCarthy,Minnesota Vikings,0,,,Houston Texans,0,0
1,12,61,J.J. McCarthy,QB,Minnesota Vikings,MATHOLOGY,J.J. McCarthy,Minnesota Vikings,1,2,1,Detroit Lions,1,1
1,11,62,Theo Johnson,TE,New York Giants,YUZENN,Jaxson Dart,New York Giants,1,,,San Francisco 49ers,0,0
1,10,63,Isiah Pacheco,RB,Kansas City Chiefs,LINEOFSCRIM,Patrick Mahomes,Kansas City Chiefs,1,,,Buffalo Bills,0,0
1,9,64,Courtland Sutton,WR,Denver Broncos,D4VE,Josh Allen,Buffalo Bills,0,,,Houston Texans,1,1
1,8,65,Wan'Dale Robinson,WR,New York Giants,KURUC711,Daniel Jones,Indianapolis Colts,0,,,San Francisco 49ers,0,0
1,7,66,Jordan Love,QB,Green Bay Packers,BUSTERSBOYS,Jordan Love,Green Bay Packers,1,0,0,Carolina Panthers,0,0
1,6,67,Hunter Henry,TE,New England Patriots,ECOXER10,Caleb Williams,Chicago Bears,0,,,Atlanta Falcons,0,0
1,5,68,Joe Flacco,QB,Cincinnati Bengals,DABK,Joe Flacco,Cincinnati Bengals,1,1,1,Chicago Bears,0,0
1,4,69,Kayshon Boutte,WR,New England Patriots,DAVIDDU316,Justin Herbert,Los Angeles Chargers,0,,,Atlanta Falcons,0,0
1,3,70,Jameson Williams,WR,Detroit Lions,INGELX,Drake Maye,New England Patriots,0,,,Minnesota Vikings,0,0
1,2,71,Aaron Jones,RB,Minnesota Vikings,CGEEEEEE,Brock Purdy,San Francisco 49ers,0,,,Detroit Lions,0,0
1,1,72,Matthew Stafford,QB,Los Angeles Rams,NF42,Matthew Stafford,Los Angeles Rams,1,0,0,New Orleans Saints,0,0
2,1,1,Jonathan Taylor,RB,Indianapolis Colts,JABJR95,Justin Herbert,Los Angeles Chargers,0,,,Pittsburgh Steelers,0,0
2,2,2,Christian McCaffrey,RB,San Francisco 49ers,NF42,Bo Nix,Denver Broncos,0,,,New York Giants,0,0
2,3,3,Jahmyr Gibbs,RB,Detroit Lions,DRAPP,Caleb Williams,Chicago Bears,0,,,Minnesota Vikings,1,1
2,4,4,Bijan Robinson,RB,Atlanta Falcons,KRUTCHES93,Brock Purdy,San Francisco 49ers,0,,,New England Patriots,0,0
2,5,5,Ja'Marr Chase,WR,Cincinnati Bengals,D4VE,Jaxson Dart,New York Giants,0,,,Chicago Bears,0,0
2,6,6,Josh Jacobs,RB,Green Bay Packers,JASTA29,Daniel Jones,Indianapolis Colts,0,,,Carolina Panthers,0,0
2,7,7,Puka Nacua,WR,Los Angeles Rams,AARONJH22,Matthew Stafford,Los Angeles Rams,1,,,New Orleans Saints,0,0
2,8,8,Amon-Ra St. Brown,WR,Detroit Lions,PATRICKBARN,Jared Goff,Detroit Lions,1,,,Minnesota Vikings,0,0
2,9,9,Rashee Rice,WR,Kansas City Chiefs,LENKEITH,Drake Maye,New England Patriots,0,,,Buffalo Bills,0,0
2,10,10,Patrick Mahomes,QB,Kansas City Chiefs,HUGLEYM2,Patrick Mahomes,Kansas City Chiefs,1,0,0,Buffalo Bills,0,0
2,11,11,Josh Allen,QB,Buffalo Bills,TUBINIS2121,Josh Allen,Buffalo Bills,1,1,1,Kansas City Chiefs,0,0
2,12,12,Kyren Williams,RB,Los Angeles Rams,BUSTERSBOYS,Trevor Lawrence,Jacksonville Jaguars,0,,,New Orleans Saints,1,1
2,12,13,James Cook,RB,Buffalo Bills,BUSTERSBOYS,Trevor Lawrence,Jacksonville Jaguars,0,,,Kansas City Chiefs,0,0
2,11,14,Kimani Vidal,RB,Los Angeles Chargers,TUBINIS2121,Josh Allen,Buffalo Bills,0,,,Tennessee Titans,0,0
2,10,15,Justin Jefferson,WR,Minnesota Vikings,HUGLEYM2,Patrick Mahomes,Kansas City Chiefs,0,,,Detroit Lions,0,0
2,9,16,D'Andre Swift,RB,Chicago Bears,LENKEITH,Drake Maye,New England Patriots,0,,,Cincinnati Bengals,0,0
2,8,17,Ashton Jeanty,RB,Las Vegas Raiders,PATRICKBARN,Jared Goff,Detroit Lions,0,,,Jacksonville Jaguars,0,0
2,7,18,Rome Odunze,WR,Chicago Bears,AARONJH22,Matthew Stafford,Los Angeles Rams,0,,,Cincinnati Bengals,0,0
2,6,19,Davante Adams,WR,Los Angeles Rams,JASTA29,Daniel Jones,Indianapolis Colts,0,,,New Orleans Saints,0,0
2,5,20,Tyler Warren,TE,Indianapolis Colts,D4VE,Jaxson Dart,New York Giants,0,,,Pittsburgh Steelers,1,1
2,4,21,Travis Etienne Jr.,RB,Jacksonville Jaguars,KRUTCHES93,Brock Purdy,San Francisco 49ers,0,,,Las Vegas Raiders,1,1
2,3,22,Chase Brown,RB,Cincinnati Bengals,DRAPP,Caleb Williams,Chicago Bears,0,,,Chicago Bears,1,1
2,2,23,DK Metcalf,WR,Pittsburgh Steelers,NF42,Bo Nix,Denver Broncos,0,,,Indianapolis Colts,0,0
2,1,24,Ladd McConkey,WR,Los Angeles Chargers,JABJR95,Justin Herbert,Los Angeles Chargers,1,,,Tennessee Titans,0,0
2,1,25,Justin Herbert,QB,Los Angeles Chargers,JABJR95,Justin Herbert,Los Angeles Chargers,1,1,1,Tennessee Titans,0,0
2,2,26,Oronde Gadsden,TE,Los Angeles Chargers,NF42,Bo Nix,Denver Broncos,0,,,Tennessee Titans,0,0
2,3,27,Nico Collins,WR,Houston Texans,DRAPP,Caleb Williams,Chicago Bears,0,,,Denver Broncos,0,0
2,4,28,Brock Bowers,TE,Las Vegas Raiders,KRUTCHES93,Brock Purdy,San Francisco 49ers,0,,,Jacksonville Jaguars,1,1
2,5,29,Jaylen Warren,RB,Pittsburgh Steelers,D4VE,Jaxson Dart,New York Giants,0,,,Indianapolis Colts,1,1
2,6,30,Tyrone Tracy,RB,New York Giants,JASTA29,Daniel Jones,Indianapolis Colts,0,,,San Francisco 49ers,0,0
2,7,31,Tucker Kraft,TE,Green Bay Packers,AARONJH22,Matthew Stafford,Los Angeles Rams,0,,,Carolina Panthers,1,1
2,8,32,George Kittle,TE,San Francisco 49ers,PATRICKBARN,Jared Goff,Detroit Lions,0,,,New York Giants,0,0
2,9,33,Drake Maye,QB,New England Patriots,LENKEITH,Drake Maye,New England Patriots,1,2,1,Atlanta Falcons,0,0
2,10,34,Drake London,WR,Atlanta Falcons,HUGLEYM2,Patrick Mahomes,Kansas City Chiefs,0,,,New England Patriots,1,1
2,11,35,Jordan Addison,WR,Minnesota Vikings,TUBINIS2121,Josh Allen,Buffalo Bills,0,,,Detroit Lions,0,0
2,12,36,Chris Olave,WR,New Orleans Saints,BUSTERSBOYS,Trevor Lawrence,Jacksonville Jaguars,0,,,Los Angeles Rams,1,1
2,12,37,Travis Hunter,WR,Jacksonville Jaguars,BUSTERSBOYS,Trevor Lawrence,Jacksonville Jaguars,1,,,Las Vegas Raiders,0,0
2,11,38,Rhamondre Stevenson,RB,New England Patriots,TUBINIS2121,Josh Allen,Buffalo Bills,0,,,Atlanta Falcons,0,0
2,10,39,Michael Pittman Jr.,WR,Indianapolis Colts,HUGLEYM2,Patrick Mahomes,Kansas City Chiefs,0,,,Pittsburgh Steelers,0,0
2,9,40,Stefon Diggs,WR,New England Patriots,LENKEITH,Drake Maye,New England Patriots,1,,,Atlanta Falcons,0,0
2,8,41,Tee Higgins,WR,Cincinnati Bengals,PATRICKBARN,Jared Goff,Detroit Lions,0,,,Chicago Bears,0,0
2,7,42,Rico Dowdle,RB,Carolina Panthers,AARONJH22,Matthew Stafford,Los Angeles Rams,0,,,Green Bay Packers,1,1
2,6,43,Daniel Jones,QB,Indianapolis Colts,JASTA29,Daniel Jones,Indianapolis Colts,1,1,1,Pittsburgh Steelers,0,0
2,5,44,Xavier Worthy,WR,Kansas City Chiefs,D4VE,Jaxson Dart,New York Giants,0,,,Buffalo Bills,0,0
2,4,45,Tetairoa McMillan,WR,Carolina Panthers,KRUTCHES93,Brock Purdy,San Francisco 49ers,0,,,Green Bay Packers,0,0
2,3,46,Brian Thomas,WR,Jacksonville Jaguars,DRAPP,Caleb Williams,Chicago Bears,0,,,Las Vegas Raiders,0,0
2,2,47,Courtland Sutton,WR,Denver Broncos,NF42,Bo Nix,Denver Broncos,1,,,Houston Texans,0,0
2,1,48,Sam LaPorta,TE,Detroit Lions,JABJR95,Justin Herbert,Los Angeles Chargers,0,,,Minnesota Vikings,0,0
2,1,49,D.J. Moore,WR,Chicago Bears,JABJR95,Justin Herbert,Los Angeles Chargers,0,,,Cincinnati Bengals,0,0
2,2,50,Bo Nix,QB,Denver Broncos,NF42,Bo Nix,Denver Broncos,1,1,1,Houston Texans,0,0
2,3,51,Caleb Williams,QB,Chicago Bears,DRAPP,Caleb Williams,Chicago Bears,1,0,0,Cincinnati Bengals,1,1
2,4,52,Keenan Allen,WR,Los Angeles Chargers,KRUTCHES93,Brock Purdy,San Francisco 49ers,0,,,Tennessee Titans,0,0
2,5,53,David Montgomery,RB,Detroit Lions,D4VE,Jaxson Dart,New York Giants,0,,,Minnesota Vikings,0,0
2,6,54,Kyle Pitts,TE,Atlanta Falcons,JASTA29,Daniel Jones,Indianapolis Colts,0,,,New England Patriots,0,0
2,7,55,Matthew Stafford,QB,Los Angeles Rams,AARONJH22,Matthew Stafford,Los Angeles Rams,1,1,1,New Orleans Saints,0,0
2,8,56,Jameson Williams,WR,Detroit Lions,PATRICKBARN,Jared Goff,Detroit Lions,1,,,Minnesota Vikings,0,0
2,9,57,Travis Kelce,TE,Kansas City Chiefs,LENKEITH,Drake Maye,New England Patriots,0,,,Buffalo Bills,0,0
2,10,58,J.K. Dobbins,RB,Denver Broncos,HUGLEYM2,Patrick Mahomes,Kansas City Chiefs,0,,,Houston Texans,0,0
2,11,59,Colston Loveland,TE,Chicago Bears,TUBINIS2121,Josh Allen,Buffalo Bills,0,,,Cincinnati Bengals,0,0
2,12,60,Dalton Kincaid,TE,Buffalo Bills,BUSTERSBOYS,Trevor Lawrence,Jacksonville Jaguars,0,,,Kansas City Chiefs,0,0
2,12,61,Trevor Lawrence,QB,Jacksonville Jaguars,BUSTERSBOYS,Trevor Lawrence,Jacksonville Jaguars,1,1,1,Las Vegas Raiders,0,0
2,11,62,Khalil Shakir,WR,Buffalo Bills,TUBINIS2121,Josh Allen,Buffalo Bills,1,,,Kansas City Chiefs,0,0
2,10,63,Hunter Henry,TE,New England Patriots,HUGLEYM2,Patrick Mahomes,Kansas City Chiefs,0,,,Atlanta Falcons,1,1
2,9,64,Kayshon Boutte,WR,New England Patriots,LENKEITH,Drake Maye,New England Patriots,1,,,Atlanta Falcons,0,0
2,8,65,Jared Goff,QB,Detroit Lions,PATRICKBARN,Jared Goff,Detroit Lions,1,2,1,Minnesota Vikings,0,0
2,7,66,Aaron Jones,RB,Minnesota Vikings,AARONJH22,Matthew Stafford,Los Angeles Rams,0,,,Detroit Lions,0,0
2,6,67,Alec Pierce,WR,Indianapolis Colts,JASTA29,Daniel Jones,Indianapolis Colts,1,,,Pittsburgh Steelers,0,0
2,5,68,Jaxson Dart,QB,New York Giants,D4VE,Jaxson Dart,New York Giants,1,0,0,San Francisco 49ers,0,0
2,4,69,Brock Purdy,QB,San Francisco 49ers,KRUTCHES93,Brock Purdy,San Francisco 49ers,1,0,0,New York Giants,0,0
2,3,70,T.J. Hockenson,TE,Minnesota Vikings,DRAPP,Caleb Williams,Chicago Bears,0,,,Detroit Lions,1,1
2,2,71,Jauan Jennings,WR,San Francisco 49ers,NF42,Bo Nix,Denver Broncos,0,,,New York Giants,0,0
2,1,72,Ricky Pearsall,WR,San Francisco 49ers,JABJR95,Justin Herbert,Los Angeles Chargers,0,,,New York Giants,0,0
3,1,1,Christian McCaffrey,RB,San Francisco 49ers,KRUTCHES93,Justin Herbert,Los Angeles Chargers,0,,,New York Giants,0,0
3,2,2,Jonathan Taylor,RB,Indianapolis Colts,PATRICKBARN,Aaron Rodgers,Pittsburgh Steelers,0,,,Pittsburgh Steelers,2,1
3,3,3,Jahmyr Gibbs,RB,Detroit Lions,FULLYLOADED,Jaxson Dart,New York Giants,0,,,Minnesota Vikings,0,0
3,4,4,Ja'Marr Chase,WR,Cincinnati Bengals,MAYORMCSHI,Joe Flacco,Cincinnati Bengals,1,,,Chicago Bears,0,0
3,5,5,Bijan Robinson,RB,Atlanta Falcons,NF42,Daniel Jones,Indianapolis Colts,0,,,New England Patriots,0,0
3,6,6,Josh Jacobs,RB,Green Bay Packers,ROHINM,Trevor Lawrence,Jacksonville Jaguars,0,,,Carolina Panthers,0,0
3,7,7,Rashee Rice,WR,Kansas City Chiefs,TUBINIS2121,Caleb Williams,Chicago Bears,0,,,Buffalo Bills,0,0
3,8,8,Puka Nacua,WR,Los Angeles Rams,LENKEITH,Patrick Mahomes,Kansas City Chiefs,0,,,New Orleans Saints,0,0
3,9,9,Amon-Ra St. Brown,WR,Detroit Lions,BUSTERSBOYS,Jared Goff,Detroit Lions,1,,,Minnesota Vikings,0,0
3,10,10,Kyren Williams,RB,Los Angeles Rams,GOAZCARDS,Drake Maye,New England Patriots,0,,,New Orleans Saints,0,0
3,11,11,James Cook,RB,Buffalo Bills,DRAPP,Matthew Stafford,Los Angeles Rams,0,,,Kansas City Chiefs,2,1
3,12,12,Justin Jefferson,WR,Minnesota Vikings,CHRISTIAN,Josh Allen,Buffalo Bills,0,,,Detroit Lions,1,1
3,12,13,Josh Allen,QB,Buffalo Bills,CHRISTIAN,Josh Allen,Buffalo Bills,1,1,1,Kansas City Chiefs,0,0
3,11,14,Davante Adams,WR,Los Angeles Rams,DRAPP,Matthew Stafford,Los Angeles Rams,1,,,New Orleans Saints,0,0
3,10,15,D'Andre Swift,RB,Chicago Bears,GOAZCARDS,Drake Maye,New England Patriots,0,,,Cincinnati Bengals,0,0
3,9,16,Kimani Vidal,RB,Los Angeles Chargers,BUSTERSBOYS,Jared Goff,Detroit Lions,0,,,Tennessee Titans,0,0
3,8,17,Patrick Mahomes,QB,Kansas City Chiefs,LENKEITH,Patrick Mahomes,Kansas City Chiefs,1,0,0,Buffalo Bills,1,1
3,7,18,Rome Odunze,WR,Chicago Bears,TUBINIS2121,Caleb Williams,Chicago Bears,1,,,Cincinnati Bengals,0,0
3,6,19,Ashton Jeanty,RB,Las Vegas Raiders,ROHINM,Trevor Lawrence,Jacksonville Jaguars,0,,,Jacksonville Jaguars,2,1
3,5,20,Chase Brown,RB,Cincinnati Bengals,NF42,Daniel Jones,Indianapolis Colts,0,,,Chicago Bears,0,0
3,4,21,Tyrone Tracy,RB,New York Giants,MAYORMCSHI,Joe Flacco,Cincinnati Bengals,0,,,San Francisco 49ers,0,0
3,3,22,Ladd McConkey,WR,Los Angeles Chargers,FULLYLOADED,Jaxson Dart,New York Giants,0,,,Tennessee Titans,0,0
3,2,23,DK Metcalf,WR,Pittsburgh Steelers,PATRICKBARN,Aaron Rodgers,Pittsburgh Steelers,1,,,Indianapolis Colts,1,1
3,1,24,Tyler Warren,TE,Indianapolis Colts,KRUTCHES93,Justin Herbert,Los Angeles Chargers,0,,,Pittsburgh Steelers,0,0
3,1,25,Justin Herbert,QB,Los Angeles Chargers,KRUTCHES93,Justin Herbert,Los Angeles Chargers,1,0,0,Tennessee Titans,0,0
3,2,26,George Kittle,TE,San Francisco 49ers,PATRICKBARN,Aaron Rodgers,Pittsburgh Steelers,0,,,New York Giants,0,0
3,3,27,Drake London,WR,Atlanta Falcons,FULLYLOADED,Jaxson Dart,New York Giants,0,,,New England Patriots,0,0
3,4,28,Tucker Kraft,TE,Green Bay Packers,MAYORMCSHI,Joe Flacco,Cincinnati Bengals,0,,,Carolina Panthers,0,0
3,5,29,Nico Collins,WR,Houston Texans,NF42,Daniel Jones,Indianapolis Colts,0,,,Denver Broncos,0,0
3,6,30,Tee Higgins,WR,Cincinnati Bengals,ROHINM,Trevor Lawrence,Jacksonville Jaguars,0,,,Chicago Bears,0,0
3,7,31,Travis Etienne Jr.,RB,Jacksonville Jaguars,TUBINIS2121,Caleb Williams,Chicago Bears,0,,,Las Vegas Raiders,0,0
3,8,32,Jaylen Warren,RB,Pittsburgh Steelers,LENKEITH,Patrick Mahomes,Kansas City Chiefs,0,,,Indianapolis Colts,0,0
3,9,33,Brock Bowers,TE,Las Vegas Raiders,BUSTERSBOYS,Jared Goff,Detroit Lions,0,,,Jacksonville Jaguars,0,0
3,10,34,Michael Pittman Jr.,WR,Indianapolis Colts,GOAZCARDS,Drake Maye,New England Patriots,0,,,Pittsburgh Steelers,0,0
3,11,35,Xavier Worthy,WR,Kansas City Chiefs,DRAPP,Matthew Stafford,Los Angeles Rams,0,,,Buffalo Bills,1,1
3,12,36,Chris Olave,WR,New Orleans Saints,CHRISTIAN,Josh Allen,Buffalo Bills,0,,,Los Angeles Rams,0,0
3,12,37,David Montgomery,RB,Detroit Lions,CHRISTIAN,Josh Allen,Buffalo Bills,0,,,Minnesota Vikings,1,1
3,11,38,Travis Hunter,WR,Jacksonville Jaguars,DRAPP,Matthew Stafford,Los Angeles Rams,0,,,Las Vegas Raiders,0,0
3,10,39,Drake Maye,QB,New England Patriots,GOAZCARDS,Drake Maye,New England Patriots,1,1,1,Atlanta Falcons,1,1
3,9,40,Rico Dowdle,RB,Carolina Panthers,BUSTERSBOYS,Jared Goff,Detroit Lions,0,,,Green Bay Packers,0,0
3,8,41,Oronde Gadsden,TE,Los Angeles Chargers,LENKEITH,Patrick Mahomes,Kansas City Chiefs,0,,,Tennessee Titans,0,0
3,7,42,Rhamondre Stevenson,RB,New England Patriots,TUBINIS2121,Caleb Williams,Chicago Bears,0,,,Atlanta Falcons,0,0
3,6,43,Brian Thomas,WR,Jacksonville Jaguars,ROHINM,Trevor Lawrence,Jacksonville Jaguars,1,,,Las Vegas Raiders,1,1
3,5,44,Daniel Jones,QB,Indianapolis Colts,NF42,Daniel Jones,Indianapolis Colts,1,0,0,Pittsburgh Steelers,0,0
3,4,45,J.K. Dobbins,RB,Denver Broncos,MAYORMCSHI,Joe Flacco,Cincinnati Bengals,0,,,Houston Texans,0,0
3,3,46,Keenan Allen,WR,Los Angeles Chargers,FULLYLOADED,Jaxson Dart,New York Giants,0,,,Tennessee Titans,0,0
3,2,47,Kareem Hunt,RB,Kansas City Chiefs,PATRICKBARN,Aaron Rodgers,Pittsburgh Steelers,0,,,Buffalo Bills,0,0
3,1,48,Stefon Diggs,WR,New England Patriots,KRUTCHES93,Justin Herbert,Los Angeles Chargers,0,,,Atlanta Falcons,0,0
3,1,49,Courtland Sutton,WR,Denver Broncos,KRUTCHES93,Justin Herbert,Los Angeles Chargers,0,,,Houston Texans,0,0
3,2,50,D.J. Moore,WR,Chicago Bears,PATRICKBARN,Aaron Rodgers,Pittsburgh Steelers,0,,,Cincinnati Bengals,0,0
3,3,51,Sam LaPorta,TE,Detroit Lions,FULLYLOADED,Jaxson Dart,New York Giants,0,,,Minnesota Vikings,0,0
3,4,52,Jordan Addison,WR,Minnesota Vikings,MAYORMCSHI,Joe Flacco,Cincinnati Bengals,0,,,Detroit Lions,0,0
3,5,53,Tetairoa McMillan,WR,Carolina Panthers,NF42,Daniel Jones,Indianapolis Colts,0,,,Green Bay Packers,0,0
