Draft,Team,Pick,Player,Position,NFL_Team,User,Fantasy QB,QB Team,Stacked,DBL Stack,QB Stack,Opponent,Double Run,Runback
1,1,1,Jonathan Taylor,RB,Indianapolis Colts,NF42,Matthew Stafford,Los Angeles Rams,0,,,Pittsburgh Steelers,1,1
1,2,2,Christian McCaffrey,RB,San Francisco 49ers,CGEEEEEE,Brock Purdy,San Francisco 49ers,1,,,New York Giants,0,0
1,3,3,Puka Nacua,WR,Los Angeles Rams,INGELX,Drake Maye,New England Patriots,0,,,New Orleans Saints,0,0
1,4,4,Jahmyr Gibbs,RB,Detroit Lions,DAVIDDU316,Justin Herbert,Los Angeles Chargers,0,,,Minnesota Vikings,0,0
1,5,5,Ja'Marr Chase,WR,Cincinnati Bengals,DABK,Joe Flacco,Cincinnati Bengals,1,,,Chicago Bears,0,0
1,6,6,Amon-Ra St. Brown,WR,Detroit Lions,ECOXER10,Caleb Williams,Chicago Bears,0,,,Minnesota Vikings,0,0
1,7,7,Bijan Robinson,RB,Atlanta Falcons,BUSTERSBOYS,Jordan Love,Green Bay Packers,0,,,New England Patriots,0,0
1,8,8,Josh Jacobs,RB,Green Bay Packers,KURUC711,Daniel Jones,Indianapolis Colts,0,,,Carolina Panthers,0,0
1,9,9,James Cook,RB,Buffalo Bills,D4VE,Josh Allen,Buffalo Bills,1,,,Kansas City Chiefs,0,0
1,10,10,Patrick Mahomes,QB,Kansas City Chiefs,LINEOFSCRIM,Patrick Mahomes,Kansas City Chiefs,1,2,1,Buffalo Bills,0,0
1,11,11,Rashee Rice,WR,Kansas City Chiefs,YUZENN,Jaxson Dart,New York Giants,0,,,Buffalo Bills,0,0
1,12,12,Justin Jefferson,WR,Minnesota Vikings,MATHOLOGY,J.J. McCarthy,Minnesota Vikings,1,,,Detroit Lions,1,1
1,12,13,Kyren Williams,RB,Los Angeles Rams,MATHOLOGY,J.J. McCarthy,Minnesota Vikings,0,,,New Orleans Saints,0,0
1,11,14,Kimani Vidal,RB,Los Angeles Chargers,YUZENN,Jaxson Dart,New York Giants,0,,,Tennessee Titans,0,0
1,10,15,Davante Adams,WR,Los Angeles Rams,LINEOFSCRIM,Patrick Mahomes,Kansas City Chiefs,0,,,New Orleans Saints,0,0
1,9,16,Josh Allen,QB,Buffalo Bills,D4VE,Josh Allen,Buffalo Bills,1,1,1,Kansas City Chiefs,0,0
1,8,17,Ashton Jeanty,RB,Las Vegas Raiders,KURUC711,Daniel Jones,Indianapolis Colts,0,,,Jacksonville Jaguars,0,0
1,7,18,Rome Odunze,WR,Chicago Bears,BUSTERSBOYS,Jordan Love,Green Bay Packers,0,,,Cincinnati Bengals,0,0
1,6,19,D'Andre Swift,RB,Chicago Bears,ECOXER10,Caleb Williams,Chicago Bears,1,,,Cincinnati Bengals,1,1
1,5,20,Tyler Warren,TE,Indianapolis Colts,DABK,Joe Flacco,Cincinnati Bengals,0,,,Pittsburgh Steelers,0,0
1,4,21,Justin Herbert,QB,Los Angeles Chargers,DAVIDDU316,Justin Herbert,Los Angeles Chargers,1,1,1,Tennessee Titans,0,0
1,3,22,Ladd McConkey,WR,Los Angeles Chargers,INGELX,Drake Maye,New England Patriots,0,,,Tennessee Titans,0,0
